County,Diabetes,Obesity,PM2.5,Median_Income,Uninsured,z_obesity,z_uninsured,z_income_protective,z_income_risk,Risk_Score,Risk_Rank,Risk_Percentile
Texas,13.0,36.0,8.1,75800.0,22,,,,,,,
Anderson,14.0,40.0,8.3,56500.0,22,0.21046153091813943,-0.2456652826089235,-0.4745849295800803,0.4745849295800803,0.4393811778892962,113.0,55.90551181102362
Andrews,14.0,39.0,6.5,80900.0,27,-0.10033631125167004,0.7232630059418,1.1877229485512095,-1.1877229485512095,-0.5647962538610796,168.0,34.25196850393701
Angelina,14.0,41.0,8.8,57300.0,24,0.5212593730879489,0.1419060328113659,-0.42008303193643143,0.42008303193643143,1.0832484378357463,78.0,69.68503937007874
Aransas,13.0,40.0,9.3,60100.0,24,0.21046153091813943,0.1419060328113659,-0.22932639018366047,0.22932639018366047,0.5816939539131658,105.0,59.055118110236215
Archer,10.0,36.0,7.7,71700.0,19,-1.0327298377610985,-0.8270222557393576,0.5609511256492478,-0.5609511256492478,-2.4207032191497038,223.0,12.598425196850393
Armstrong,10.0,34.0,5.8,68600.0,13,-1.6543255221007174,-1.9897362020002258,0.3497562722801085,-0.3497562722801085,-3.993817996381052,238.0,6.692913385826772
Atascosa,15.0,43.0,8.6,58300.0,24,1.1428550574275678,0.1419060328113659,-0.3519556598818704,0.3519556598818704,1.636716750120804,54.0,79.13385826771653
Austin,12.0,36.0,9.2,73200.0,22,-1.0327298377610985,-0.2456652826089235,0.6631421837310894,-0.6631421837310894,-1.9415373041011115,212.0,16.92913385826772
Bailey,13.0,38.0,,51200.0,33,-0.4111341534214795,1.8859769522026684,-0.8356600014692539,0.8356600014692539,2.310502800250443,33.0,87.4015748031496
Bandera,11.0,36.0,8.0,66600.0,22,-1.0327298377610985,-0.2456652826089235,0.21350152817098642,-0.21350152817098642,-1.4918966485410086,203.0,20.47244094488189
Bastrop,12.0,40.0,8.4,77300.0,25,0.21046153091813943,0.3356916905215106,0.9424644091547897,-0.9424644091547897,-0.3963111877151396,158.0,38.188976377952756
Baylor,11.0,36.0,,49600.0,19,-1.0327298377610985,-0.8270222557393576,-0.9446637967565515,0.9446637967565515,-0.9150882967439046,183.0,28.346456692913385
Bee,16.0,43.0,8.9,54100.0,19,1.1428550574275678,-0.8270222557393576,-0.6380906225110268,0.6380906225110268,0.9539234241992369,87.0,66.14173228346458
Bell,14.0,39.0,7.8,69600.0,20,-0.10033631125167004,-0.633236598029213,0.41788364433466957,-0.41788364433466957,-1.1514565536155525,188.0,26.37795275590551
Bexar,15.0,37.0,8.7,69800.0,22,-0.721931995591289,-0.2456652826089235,0.4315091187455818,-0.4315091187455818,-1.3991063969457942,197.0,22.83464566929134
Blanco,11.0,35.0,,91000.0,20,-1.343527679930908,-0.633236598029213,1.8758094063022763,-1.8758094063022763,-3.8525736842623974,236.0,7.480314960629922
Borden,9.0,33.0,6.1,80700.0,15,-1.9651233642705268,-1.6021648865799365,1.1740974741402974,-1.1740974741402974,-4.741385724990761,244.0,4.330708661417323
Bosque,12.0,37.0,8.2,66300.0,23,-0.721931995591289,-0.05187962489877881,0.1930633165546181,-0.1930633165546181,-0.9668749370446859,186.0,27.165354330708663
Bowie,13.0,41.0,9.3,55300.0,19,0.5212593730879489,-0.8270222557393576,-0.5563377760455536,0.5563377760455536,0.25057489339414485,121.0,52.75590551181102
Brazoria,13.0,40.0,10.4,93100.0,18,0.21046153091813943,-1.0208079134495023,2.0188768876168544,-2.0188768876168544,-2.8292232701482174,225.0,11.811023622047244
Brazos,13.0,37.0,8.1,55700.0,18,-0.721931995591289,-1.0208079134495023,-0.5290868272237291,0.5290868272237291,-1.2136530818170623,191.0,25.196850393700785
Brewster,12.0,36.0,5.4,57900.0,26,-1.0327298377610985,0.5294773482316553,-0.3792066087036948,0.3792066087036948,-0.12404588082574841,145.0,43.30708661417323
Briscoe,16.0,43.0,5.9,58000.0,25,1.1428550574275678,0.3356916905215106,-0.3723938714982387,0.3723938714982387,1.850940619447317,48.0,81.49606299212599
