County,County Value**,Error Margin
Texas,36%,34-37%
Anderson,40%,31-48%
Andrews,39%,31-48%
Angelina,41%,37-46%
Aransas,40%,33-48%
Archer,36%,28-45%
Armstrong,34%,31-38%
Atascosa,43%,35-51%
Austin,36%,29-44%
Bailey,38%,30-47%
Bandera,36%,29-44%
Bastrop,40%,33-47%
Baylor,36%,28-44%
Bee,43%,34-51%
Bell,39%,34-44%
Bexar,37%,34-41%
Blanco,35%,27-43%
Borden,33%,30-37%
Bosque,37%,29-46%
Bowie,41%,33-49%
Brazoria,40%,35-44%
Brazos,37%,30-45%
Brewster,36%,28-44%
Briscoe,43%,38-49%
Brooks,45%,41-49%
Brown,38%,31-46%
Burleson,38%,31-47%
Burnet,42%,34-50%
Caldwell,39%,31-48%
Calhoun,37%,29-45%
Callahan,36%,28-45%
Cameron,48%,43-52%
Camp,40%,32-48%
Carson,34%,27-43%
Cass,39%,31-47%
Castro,40%,32-49%
Chambers,39%,31-47%
Cherokee,39%,31-47%
Childress,41%,33-50%
Clay,35%,27-43%
Cochran,44%,35-52%
Coke,40%,31-48%
Coleman,38%,31-47%
Collin,29%,25-32%
Collingsworth,39%,31-48%
Colorado,40%,31-49%
Comal,39%,33-45%
Comanche,39%,31-48%
Concho,39%,35-44%
Cooke,37%,29-46%
Coryell,38%,31-46%
Cottle,42%,33-52%
Crane,40%,36-45%
Crockett,39%,30-47%
Crosby,41%,33-50%
Culberson,43%,39-47%
Dallam,40%,32-49%
Dallas,35%,31-39%
Dawson,43%,34-52%
Deaf Smith,44%,35-53%
Delta,37%,29-45%
Denton,31%,26-35%
DeWitt,41%,33-50%
Dickens,37%,29-46%
Dimmit,50%,41-58%
Donley,37%,29-46%
Duval,43%,33-52%
Eastland,37%,29-46%
Ector,40%,32-49%
Edwards,42%,34-51%
El Paso,39%,35-44%
Ellis,38%,31-45%
Erath,40%,32-48%
Falls,43%,34-51%
Fannin,38%,29-46%
Fayette,36%,29-44%
Fisher,38%,34-42%
Floyd,41%,34-49%
Foard,40%,36-45%
Fort Bend,33%,27-40%
Franklin,35%,26-43%
Freestone,39%,31-48%
Frio,42%,33-50%
Gaines,40%,32-49%
Galveston,40%,35-44%
Garza,41%,33-50%
Gillespie,34%,26-42%
Glasscock,34%,26-42%
Goliad,39%,30-48%
Gonzales,40%,31-48%
Gray,41%,32-49%
Grayson,37%,30-45%
Gregg,40%,32-48%
Grimes,42%,32-52%
Guadalupe,39%,34-46%
Hale,43%,35-51%
Hall,41%,36-46%
Hamilton,38%,30-46%
Hansford,37%,33-41%
Hardeman,37%,29-46%
Hardin,38%,31-45%
Harris,35%,31-39%
Harrison,40%,32-48%
Hartley,35%,32-39%
Haskell,40%,31-48%
Hays,34%,28-41%
Hemphill,37%,29-45%
Henderson,37%,29-46%
Hidalgo,48%,43-53%
Hill,37%,30-45%
Hockley,41%,33-50%
Hood,34%,28-39%
Hopkins,38%,29-47%
Houston,40%,33-49%
Howard,42%,34-50%
Hudspeth,43%,35-51%
Hunt,42%,35-50%
Hutchinson,38%,29-47%
Irion,36%,31-41%
Jack,38%,30-47%
Jackson,40%,31-48%
Jasper,41%,33-49%
Jeff Davis,40%,31-48%
Jefferson,38%,33-43%
