County,County Value,National Z-Score,
Texas,8.1,,
Anderson,8.3,0.31,
Andrews,6.5,-0.59,
Angelina,8.8,0.56,
Aransas,9.3,0.81,
Archer,7.7,0.01,
Armstrong,5.8,-0.94,
Atascosa,8.6,0.46,
Austin,9.2,0.76,
Bailey,,0.07,
Bandera,8,0.16,
Bastrop,8.4,0.36,
Baylor,,0.07,
Bee,8.9,0.61,
Bell,7.8,0.06,
Bexar,8.7,0.51,
Blanco,,0.07,
Borden,6.1,NA,
Bosque,8.2,0.26,
Bowie,9.3,0.81,
Brazoria,10.4,1.36,
Brazos,8.1,0.21,
Brewster,5.4,-1.14,
Briscoe,5.9,-0.89,
Brooks,9.3,0.81,
Brown,7.3,-0.19,
Burleson,8.6,0.46,
Burnet,8,0.16,
Caldwell,8.9,0.61,
Calhoun,9.2,0.76,
Callahan,7,-0.34,
Cameron,12.6,2.46,
Camp,8.7,0.51,
Carson,6,-0.84,
Cass,9.1,0.71,
Castro,6.1,-0.79,
Chambers,9.7,1.01,
Cherokee,8.6,0.46,
Childress,6.4,-0.64,
Clay,8,0.16,
Cochran,5.6,-1.04,
Coke,6.6,-0.54,
Coleman,6.9,-0.39,
Collin,9.4,0.86,
Collingsworth,6.3,-0.69,
Colorado,8.7,0.51,
Comal,9,0.66,
Comanche,7.5,-0.09,
Concho,6.7,-0.49,
Cooke,8.8,0.56,
Coryell,8.4,0.36,
Cottle,6.1,-0.79,
Crane,6.6,-0.54,
Crockett,6.6,-0.54,
Crosby,5.9,-0.89,
Culberson,5.6,-1.04,
Dallam,5.7,-0.99,
Dallas,8.8,0.56,
Dawson,6.2,-0.74,
Deaf Smith,5.9,-0.89,
Delta,8.3,0.31,
Denton,7.4,-0.14,
DeWitt,8.7,0.51,
Dickens,5.9,-0.89,
Dimmit,8.4,0.36,
Donley,6,-0.84,
Duval,9,0.66,
Eastland,7.3,-0.19,
Ector,7.3,-0.19,
Edwards,6.9,-0.39,
El Paso,9.3,0.81,
Ellis,8.3,0.31,
Erath,7.8,0.06,
Falls,8.4,0.36,
Fannin,8.8,0.56,
Fayette,8.6,0.46,
Fisher,6.5,-0.59,
Floyd,6.1,-0.79,
Foard,6.5,-0.59,
Fort Bend,10.6,1.46,
Franklin,8.5,0.41,
Freestone,8.4,0.36,
Frio,,0.07,
Gaines,6.1,-0.79,
Galveston,8.3,0.31,
Garza,,0.07,
Gillespie,7.6,-0.04,
Glasscock,6.7,NA,
Goliad,8.6,0.46,
Gonzales,8.7,0.51,
Gray,6.2,-0.74,
Grayson,9,0.66,
Gregg,9.1,0.71,
Grimes,9,0.66,
Guadalupe,9.1,0.71,
Hale,6.6,-0.54,
Hall,6.1,-0.79,
Hamilton,7.7,0.01,
Hansford,6.4,-0.64,
Hardeman,6.6,-0.54,
Hardin,8.9,0.61,
Harris,11.6,1.96,
Harrison,8.4,0.36,
Hartley,5.5,-1.09,
Haskell,6.8,-0.44,
Hays,9.2,0.76,
Hemphill,6.5,-0.59,
Henderson,8.3,0.31,
Hidalgo,10.8,1.56,
Hill,8.6,0.46,
Hockley,6,-0.84,
Hood,8.3,0.31,
Hopkins,8.6,0.46,
Houston,8.5,0.41,
Howard,6.7,-0.49,
Hudspeth,5.8,-0.94,
Hunt,8.7,0.51,
Hutchinson,6.2,-0.74,
Irion,6.6,-0.54,
Jack,7.7,0.01,
Jackson,8.7,0.51,
Jasper,8.6,0.46,
Jeff Davis,5.2,-1.24,
Jefferson,8.5,0.41,
Jim Hogg,9.2,0.76,
Jim Wells,9.2,0.76,
Johnson,8.9,0.61,
Jones,7,-0.34,
Karnes,8.5,0.41,
Kaufman,8.7,0.51,
Kendall,8.1,0.21,
Kenedy,10.5,NA,
Kent,6,NA,
Kerr,7.7,0.01,
Kimble,6.8,-0.44,
King,6.1,NA,
Kinney,7.2,-0.24,
Kleberg,10.5,1.41,
Knox,6.7,-0.49,
La Salle,,0.07,
Lamar,8.7,0.51,
Lamb,6.1,-0.79,
Lampasas,7.8,0.06,
Lavaca,8.6,0.46,
Lee,8.5,0.41,
Leon,,0.07,
Liberty,9.8,1.06,
Limestone,8.5,0.41,
Lipscomb,6.6,-0.54,
Live Oak,8.8,0.56,
Llano,7.7,0.01,
Loving,7.8,NA,
Lubbock,5.4,-1.14,
Lynn,6,-0.84,
Madison,8.5,0.41,
Marion,9,0.66,
Martin,6.9,-0.39,
Mason,7,-0.34,
Matagorda,9.5,0.91,
Maverick,7.9,0.11,
McCulloch,7,-0.34,
McLennan,8.7,0.51,
McMullen,8.4,NA,
Medina,8.5,0.41,
Menard,6.7,-0.49,
Midland,7.1,-0.29,
Milam,8.5,0.41,
Mills,7.3,-0.19,
Mitchell,6.5,-0.59,
Montague,8.5,0.41,
Montgomery,10.3,1.31,
Moore,6,-0.84,
Morris,8.8,0.56,
Motley,5.8,-0.94,
Nacogdoches,8.8,0.56,
Navarro,8.5,0.41,
Newton,8.7,0.51,
Nolan,6.6,-0.54,
Nueces,9.6,0.96,
Ochiltree,6.5,-0.59,
Oldham,5.3,-1.19,
Orange,8.7,0.51,
Palo Pinto,7.8,0.06,
Panola,9,0.66,
Parker,8.5,0.41,
Parmer,5.9,-0.89,
Pecos,6.3,-0.69,
Polk,8.7,0.51,
Potter,5.4,-1.14,
Presidio,5.4,-1.14,
Rains,8.1,0.21,
Randall,6.1,-0.79,
Reagan,6.6,-0.54,
Real,6.9,-0.39,
Red River,8.8,0.56,
Reeves,6.8,-0.44,
Refugio,8.9,0.61,
Roberts,6.2,NA,
Robertson,8.5,0.41,
Rockwall,8.8,0.56,
Runnels,6.9,-0.39,
Rusk,9,0.66,
Sabine,8.2,0.26,
San Augustine,8.3,0.31,
San Jacinto,,0.07,
San Patricio,9.7,1.01,
San Saba,7.2,-0.24,
Schleicher,6.7,-0.49,
Scurry,6.5,-0.59,
Shackelford,6.8,-0.44,
Shelby,8.8,0.56,
Sherman,6,-0.84,
Smith,8.7,0.51,
Somervell,7.9,0.11,
Starr,9.7,1.01,
Stephens,7,-0.34,
Sterling,6.5,NA,
Stonewall,6.3,-0.69,
Sutton,6.7,-0.49,
Swisher,6.3,-0.69,
Tarrant,9.7,1.01,
Taylor,7.1,-0.29,
